date,n_kap_day,n_material,kap_score,kap_polarity,has_earnings,has_dividend,has_buyback,has_rating,has_oda
2018-10-10,5,5,-2.0,bearish,0,0,0,0,1
2018-10-11,14,13,0.0,neutral,0,0,0,0,1
2018-10-12,8,7,1.0,bullish,0,0,0,0,1
2018-10-15,5,3,0.0,neutral,0,0,0,0,1
2018-10-16,3,3,1.0,bullish,0,0,0,0,1
2018-10-17,7,7,3.5,bullish,0,1,0,0,1
2018-10-18,8,7,1.0,bullish,0,0,0,0,0
2018-10-19,7,6,0.0,neutral,0,0,0,1,1
2018-10-22,16,16,3.0,bullish,0,0,0,0,1
2018-10-23,10,8,0.0,neutral,0,0,0,0,1
2018-10-24,23,18,2.2,bullish,1,0,1,0,1
2018-10-25,22,14,2.2,bullish,1,0,1,0,1
2018-10-26,25,19,2.4,bullish,1,0,1,0,1
2018-10-27,4,3,0.0,neutral,1,0,0,0,0
2018-10-30,18,16,3.0,bullish,1,0,1,0,1
2018-10-31,22,16,1.2,bullish,1,0,1,0,1
2018-11-01,21,19,5.2,bullish,1,0,1,0,1
2018-11-02,11,9,1.0,bullish,0,0,0,0,1
2018-11-03,1,1,0.0,neutral,0,0,0,0,0
2018-11-05,10,8,2.0,bullish,0,0,0,0,1
2018-11-06,22,19,1.0,bullish,1,0,0,0,1
2018-11-07,36,29,4.2,bullish,1,0,1,0,1
2018-11-08,28,23,9.2,bullish,1,1,1,0,1
2018-11-09,22,17,8.7,bullish,1,0,1,0,1
2018-11-12,13,11,8.2,bullish,0,0,1,0,1
2018-11-13,10,9,5.4,bullish,0,0,1,0,1
2018-11-14,9,9,5.4,bullish,0,0,1,0,0
2018-11-15,5,5,7.4,bullish,0,0,1,0,0
2018-11-16,26,23,9.899999999999999,bullish,0,1,1,0,0
2018-11-19,9,8,7.4,bullish,0,0,1,0,1
2018-11-20,15,13,5.6000000000000005,bullish,0,0,1,0,0
2018-11-21,14,14,5.4,bullish,0,0,1,0,0
2018-11-22,8,7,6.4,bullish,0,0,1,0,1
2018-11-23,11,11,7.2,bullish,0,0,1,0,1
2018-11-26,10,8,5.2,bullish,0,0,1,0,1
2018-11-27,12,12,3.2,bullish,0,0,1,0,1
2018-11-28,8,8,5.5,bullish,0,0,1,0,1
2018-11-29,9,8,2.2,bullish,0,0,1,0,1
2018-11-30,13,12,6.2,bullish,0,0,1,1,1
2018-12-03,8,6,2.2,bullish,0,0,1,0,1
2018-12-04,10,8,4.2,bullish,0,0,1,0,1
2018-12-05,12,12,5.8,bullish,0,0,1,0,1
2018-12-06,14,14,3.2,bullish,0,0,1,0,1
2018-12-07,18,16,7.2,bullish,0,0,1,0,1
2018-12-10,19,17,1.2,bullish,0,0,1,0,1
2018-12-11,15,14,3.2,bullish,0,0,1,1,1
2018-12-12,29,29,5.2,bullish,0,0,1,0,1
2018-12-13,19,18,7.5,bullish,0,0,1,1,1
2018-12-14,12,10,3.2,bullish,0,0,1,0,1
2018-12-17,14,12,7.5,bullish,0,0,1,0,1
2018-12-18,14,14,10.5,bullish,0,1,1,0,1
2018-12-19,16,14,9.2,bullish,0,0,1,0,1
2018-12-20,10,8,4.2,bullish,0,0,1,0,1
2018-12-21,20,18,5.2,bullish,0,0,1,0,1
2018-12-22,11,9,0.0,neutral,0,0,0,0,1
2018-12-24,16,15,3.2,bullish,0,0,1,1,1
2018-12-25,31,28,10.2,bullish,0,0,1,0,1
2018-12-26,26,25,8.2,bullish,0,0,1,0,1
2018-12-27,24,22,11.0,bullish,0,0,1,0,1
2018-12-28,34,31,12.2,bullish,0,0,1,0,1
2018-12-31,13,13,10.8,bullish,0,0,1,0,1
2019-01-01,1,0,0.0,neutral,0,0,0,0,0
2019-01-02,20,17,5.0,bullish,0,0,0,0,1
2019-01-03,19,17,5.0,bullish,0,0,0,0,1
2019-01-04,18,16,4.0,bullish,0,0,0,0,1
2019-01-07,10,10,1.0,bullish,0,0,0,0,1
2019-01-08,6,4,1.0,bullish,0,0,0,0,1
2019-01-09,10,9,0.0,neutral,0,0,0,0,0
2019-01-10,8,8,2.0,bullish,0,0,0,1,1
2019-01-11,15,13,2.0,bullish,0,0,0,0,1
2019-01-14,12,12,0.0,neutral,0,0,0,0,1
2019-01-15,7,7,-3.0,bearish,0,0,0,0,1
2019-01-16,6,5,3.2,bullish,0,0,1,0,1
2019-01-17,8,8,0.0,neutral,0,0,0,0,0
2019-01-18,13,13,2.0,bullish,0,0,1,0,1
2019-01-21,15,13,7.0,bullish,0,0,0,0,0
2019-01-22,9,7,2.8,bullish,0,0,0,0,1
2019-01-23,9,8,-1.0,bearish,0,0,0,0,0
2019-01-24,9,8,-1.0,bearish,0,0,0,0,0
2019-01-25,21,19,2.8,bullish,0,0,0,1,1
2019-01-28,7,6,0.0,neutral,0,0,0,0,1
2019-01-29,11,6,1.2,bullish,0,0,1,0,1
2019-01-30,15,12,2.0,bullish,1,0,0,0,1
2019-01-31,17,9,0.0,neutral,1,0,0,0,1
2019-02-01,21,16,5.5,bullish,1,1,0,0,1
2019-02-04,15,13,2.0,bullish,0,0,0,0,1
2019-02-05,12,11,0.0,neutral,0,0,0,0,1
2019-02-06,9,9,-1.0,bearish,0,0,0,0,1
2019-02-07,23,20,0.0,neutral,1,0,0,0,1
2019-02-08,16,14,3.2,bullish,1,0,1,0,1
2019-02-10,2,1,0.0,neutral,1,0,0,0,0
2019-02-11,18,16,4.2,bullish,1,0,1,0,1
2019-02-12,15,14,3.2,bullish,1,0,1,0,1
2019-02-13,61,53,18.9,bullish,1,1,1,0,1
2019-02-14,23,23,2.5,bullish,0,1,0,1,1
2019-02-15,23,19,7.7,bullish,1,1,1,0,1
2019-02-18,36,32,8.2,bullish,1,1,1,0,1
2019-02-19,21,18,3.2,bullish,0,0,1,0,1
2019-02-20,9,8,2.2,bullish,1,0,1,0,1
2019-02-21,15,13,9.0,bullish,0,1,1,0,1
2019-02-22,24,22,9.0,bullish,0,0,1,0,0
2019-02-25,21,18,4.7,bullish,1,1,1,0,1
2019-02-26,24,23,1.2,bullish,1,0,1,0,1
2019-02-27,22,21,9.7,bullish,0,1,1,0,1
2019-02-28,31,29,12.7,bullish,1,1,1,0,1
2019-03-01,34,27,-0.8,neutral,1,0,1,1,0
2019-03-04,25,23,5.0,bullish,1,1,0,1,1
2019-03-05,41,35,3.5,bullish,1,1,0,0,1
2019-03-06,36,32,20.7,bullish,1,1,1,0,1
2019-03-07,31,27,11.7,bullish,0,1,1,0,1
2019-03-08,34,31,10.2,bullish,0,1,1,0,1
2019-03-11,29,25,2.2,bullish,1,0,1,0,1
2019-03-12,23,20,4.5,bullish,0,1,0,0,1
2019-03-13,19,17,8.5,bullish,0,1,1,0,1
2019-03-14,12,9,1.2,bullish,0,0,1,0,1
2019-03-15,18,16,3.5,bullish,0,1,0,0,1
2019-03-16,3,2,0.0,neutral,0,0,0,0,1
2019-03-18,24,23,9.399999999999999,bullish,0,1,1,0,1
2019-03-19,30,29,12.2,bullish,0,1,1,0,1
2019-03-20,19,18,10.2,bullish,0,1,1,0,1
2019-03-21,24,23,7.2,bullish,0,1,1,0,1
2019-03-22,35,32,1.2,bullish,0,0,1,0,1
2019-03-25,14,13,5.5,bullish,0,1,0,0,0
2019-03-26,20,20,3.0,bullish,0,0,0,0,1
2019-03-27,20,16,2.8,bullish,0,0,0,0,1
2019-03-28,23,22,11.0,bullish,0,1,0,0,1
2019-03-29,45,41,18.5,bullish,0,1,0,0,1
2019-03-30,1,1,0.0,neutral,0,0,0,0,0
2019-04-01,21,19,4.0,bullish,0,0,0,0,1
2019-04-02,19,18,1.5,bullish,0,1,0,0,1
2019-04-03,33,30,4.0,bullish,0,0,0,0,1
2019-04-04,18,18,4.5,bullish,0,1,0,0,1
2019-04-05,31,28,2.5,bullish,0,1,0,0,1
2019-04-08,10,10,-1.0,bearish,0,0,0,0,1
2019-04-09,18,18,1.0,bullish,0,0,0,0,1
2019-04-10,12,11,0.8,neutral,0,0,0,0,1
2019-04-11,12,10,-3.0,bearish,0,0,0,0,1
2019-04-12,20,19,3.8,bullish,0,0,0,0,1
2019-04-15,4,3,2.0,bullish,0,0,0,0,0
2019-04-16,10,9,2.0,bullish,0,0,0,0,0
2019-04-17,15,15,5.5,bullish,0,1,0,0,1
2019-04-18,15,15,-2.0,bearish,0,0,0,1,1
2019-04-19,13,12,2.0,bullish,0,0,0,0,1
2019-04-22,5,5,0.0,neutral,0,0,0,0,1
2019-04-24,12,12,-2.0,bearish,0,0,0,0,1
2019-04-25,31,29,12.8,bullish,1,0,0,0,1
2019-04-26,49,36,3.5,bullish,1,1,0,0,1
2019-04-29,31,26,7.8,bullish,1,0,0,0,1
2019-04-30,44,40,15.3,bullish,1,1,0,0,1
2019-05-01,1,1,1.0,bullish,0,0,0,0,0
2019-05-02,30,23,5.3,bullish,1,1,0,0,1
2019-05-03,31,29,13.8,bullish,0,1,0,0,1
2019-05-06,12,11,1.0,bullish,1,0,0,0,1
2019-05-07,26,24,0.0,neutral,1,0,0,0,1
2019-05-08,33,29,5.0,bullish,1,0,0,0,1
2019-05-09,32,28,5.5,bullish,1,1,0,0,1
2019-05-10,51,42,2.0,bullish,1,0,0,0,1
2019-05-13,9,8,0.0,neutral,0,0,0,0,1
2019-05-14,23,22,-1.0,bearish,0,0,0,0,1
2019-05-15,16,14,-1.0,bearish,0,0,0,0,1
2019-05-16,8,8,4.3,bullish,0,1,0,0,0
2019-05-17,18,18,1.0,bullish,0,0,0,0,1
2019-05-20,13,12,-1.0,bearish,0,0,0,0,0
2019-05-21,18,18,5.3,bullish,0,1,0,0,1
2019-05-22,23,23,2.0,bullish,0,0,0,0,1
